EPHA2-AS1	21	0	21
ARHGEF19	0	0	0
ANO7L1	0	0	0
CPLANE2	0	0	0
FBXO42	0	0	0
SZRD1	0	0	0
SPATA21	0	0	0
NECAP2	0	0	0
LINC01772	0	0	0
CROCCP3	0	0	0
RNU1-1	0	0	0
TRN-GTT5-1	0	0	0
LINC01783	0	0	0
TRE-TTC4-1	0	0	0
LOC124903856	0	0	0
TRG-CCC1-1	0	0	0
NBPF1	29	0	29
CROCCP2	14	0	14
MST1P2	1	0	1
RNU1-3	0	0	0
LOC124903857	0	0	0
TRG-CCC4-1	0	0	0
ESPNP	0	0	0
LOC124903858	0	0	0
TRG-CCC5-1	0	0	0
LOC124903859	0	0	0
RNU1-4	0	0	0
MST1L	0	0	0
MIR3675	0	0	0
TRG-CCC1-2	0	0	0
LINC03126	0	0	0
TRE-TTC3-1	0	0	0
LOC105376805	0	0	0
TRN-GTT4-1	0	0	0
RNU1-2	0	0	0
CROCC	1	0	1
MFAP2	0	0	0
LOC105376806	0	0	0
ATP13A2	0	0	0
SDHB	1	0	1
PADI2	0	0	0
LOC124903861	0	0	0
LOC105376808	0	0	0
LINC02783	0	0	0
PADI1	0	0	0
PADI3	0	0	0
MIR3972	0	0	0
PADI4	0	0	0
PADI6	0	0	0
RCC2	0	0	0
RCC2-AS1	0	0	0
LOC124903862	0	0	0
LOC124904837	0	0	0
ARHGEF10L	556	0	556
LINC02810	0	0	0
ACTL8	46	0	46
LOC105376809	0	0	0
LOC105376812	0	0	0
LINC01654	0	0	0
IGSF21	0	0	0
IGSF21-AS1	0	0	0
LOC124903864	0	0	0
LOC124903863	0	0	0
LOC124903865	0	0	0
KLHDC7A	3	0	3
PAX7	0	0	0
TAS1R2	0	0	0
ALDH4A1	435	0	435
MIR4695	0	0	0
MIR1290	0	0	0
LOC124903866	0	0	0
IFFO2	156	0	156
LOC105376815	0	0	0
UBR4	4614	4	4610
EMC1-AS1	5	121	8
EMC1	1382	8	1498
MRTO4	1108	2	1106
AKR7L	22	3	19
AKR7A3	26	0	27
LOC124903867	6	8	0
LOC100506730	72	0	72
AKR7A2	713	0	714
SLC66A1	210	1	209
CAPZB	1824	1	1824
LOC124903868	0	0	0
LOC124903869	0	0	0
LOC105376819	2	3	0
LOC105376818	0	0	0
LOC105376817	0	0	0
LOC124904816	0	0	0
