"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC02928",8.36597481239765,0.155524125028234,0.649491148418213,0.239455341934992,0.810752521212827,NA
"TMEM165",2095.6599599794,0.0734822183640147,0.122030664656121,0.60216191209878,0.547066366084157,0.811598987967049
"CLOCK",441.346799826544,0.193921562563559,0.177177932732541,1.09450177893368,0.273734967595613,0.608594154098233
"NMU",2.26828663956108,0.0100327980970458,1.28361703140784,0.00781603691097965,0.993763768317811,NA
"EXOC1",315.316975249527,0.141851462794654,0.200197086476557,0.70855907691376,0.478598139145075,0.77498619504801
"EXOC1-AS1",4.08525611641708,-1.11516886909808,0.948694315310023,-1.17547754961898,0.23980371384931,NA
"CEP135",80.0934893485633,-0.175754114036512,0.269240414565202,-0.652777608890326,0.513899660795255,0.795501978347659
"CRACD",277.506734785331,-0.298528742538999,0.163711348568615,-1.82350670951733,0.0682266818055373,0.289158837746581
"AASDH",191.422229435193,0.139214624834405,0.228042583441664,0.610476441431901,0.54154624464309,0.809901906798282
"PPAT",633.648177051843,-0.202093888595165,0.162095394970746,-1.24675897567379,0.212485886991399,0.535428680381571
"PAICS",6684.34995331453,0.00181760673513751,0.122476392060286,0.0148404660242019,0.988159455911549,0.995758855716685
"LOC124900706",11.7377124252117,0.725664645716402,0.557187930491474,1.30236964227908,0.192790055074558,NA
"SRP72",2259.21915605893,0.192031322834371,0.138624507344286,1.38526243673093,0.165972235204934,0.474583338864375
"REST",539.234495286398,0.358400963884381,0.151935441106,2.35890297402261,0.0183290473524988,0.128160692966694
"NOA1",748.696910255223,-0.140819701820608,0.133385052166388,-1.05573825202652,0.291087815832305,0.623568362150204
"POLR2B",1917.38856695004,0.10013206378855,0.143467073630213,0.697944561458338,0.485211864976542,0.779697368768708
"IGFBP7",250.045024599212,-0.189042333559599,0.181069104987151,-1.04403417453802,0.296469578667136,0.628249802906655
"EPHA5",156.197477446759,0.0823923500371666,0.202074056896885,0.407733438435444,0.68346938534659,0.876920540181176
"EPHA5-AS1",5.63523119143104,-0.235347280929031,0.797122611522744,-0.29524602304211,0.767805946795132,NA
"CENPC",187.806673542876,0.344432765405685,0.460645158573942,0.747718192614842,0.45463015540079,0.757255392582964
"UBA6",737.138292391327,0.124519328558177,0.174334969852991,0.714253305938438,0.475070560125019,0.772972007425219
"UBA6-DT",76.0742180689224,0.126571473930363,0.248964772356066,0.50839109779492,0.611179094631141,0.845209084362921
"GNRHR",3.106975035859,0.129524895048369,1.03372496782586,0.125299184096121,0.900286698091079,NA
"LOC102724780",3.49850534472524,0.0574462160682302,1.05336120726696,0.0545361037333809,0.956508044757785,NA
"UGT2B17",2.21765347661327,1.71278627776761,1.37107624109288,1.24922759685658,0.211581841016944,NA
"UTP3",598.846494922563,0.117095195242252,0.167637682602907,0.698501634144052,0.484863536260595,0.779537119455781
"RUFY3",230.428734557937,-0.271432656785114,0.173881796620085,-1.56101824377953,0.118519446380879,0.399693328693049
"GRSF1",2207.18349793545,0.0882902942043173,0.115002335312689,0.767726098467981,0.44264992760392,0.749262386834495
"MOB1B",171.580632198075,0.0698535948277983,0.211582526143776,0.330148222071661,0.741287968060223,0.901543203154747
"DCK",340.745510745334,-0.373157645067641,0.181208583539065,-2.05927135337491,0.039468251115334,0.209216658567125
"COX18",194.841558788393,-0.19573404212135,0.181639676459447,-1.07759519250768,0.281214448589463,0.616806629661163
"ANKRD17",2088.24873977441,0.126124604076346,0.130363246165372,0.967485911760361,0.333301180687425,0.663924692450464
"ANKRD17-DT",2.80886722759862,-0.623487107449494,1.09919752319986,-0.567220262318704,0.570564543339487,NA
"RASSF6",1.98592006272935,-1.02037522593635,1.31524049075055,-0.775808860137862,0.437861851747961,NA
"CXCL3",10.2823937444788,0.116042899038151,0.588027957065509,0.197342486260774,0.84355953377437,NA
"LOC105377275",3.9333204730648,1.21947925028833,1.00505013611879,1.21335165924915,0.224995399936174,NA
"CXCL2",118.13679715221,0.796870263034226,0.233502493718262,3.41268416600171,0.000643264459628559,0.0114450122173517
"MTHFD2L",139.939523109825,0.113686779035428,0.19530870948088,0.582087605502082,0.56050767335147,0.81964961905233
"EPGN",144.180586514389,0.304863445293079,0.216816588533378,1.40608911594486,0.159697663921855,0.465223926464339
"AREG",20.0743246365396,0.645612147719788,0.480421808941387,1.34384437946811,0.178998715114058,0.490550073511925
"RCHY1",167.377119843672,0.120507613438632,0.188106920917711,0.640633597374919,0.521760765724259,0.800268889030373
"THAP6",159.428425438967,0.10804928075302,0.193680061398127,0.557875085194831,0.576929685789898,0.827880278068803
"G3BP2",1282.48239050255,0.0829068950018189,0.119340783215844,0.694707146775384,0.487238848317294,0.780308000897222
"USO1",1181.238803034,0.415390622935358,0.179269869122929,2.31712459526881,0.0204969455716134,0.137586399157882
"NAAA",11.5153453191857,-0.194489919547227,0.550187744952681,-0.353497367637576,0.723715601871923,NA
"SDAD1",531.024705474126,0.342485508917237,0.199606517601011,1.71580323645456,0.086198061624011,0.333011491759347
"CXCL10",85.3606494874566,3.24297527256053,0.309628135594765,10.4737745047978,1.1400458789877e-25,1.79257963897328e-22
"CXCL11",190.420703559292,1.67309757749253,0.198774802717175,8.41705062523986,3.86080866163103e-17,1.86788892902526e-14
"NUP54",566.003912211801,0.237555394764738,0.16408664034378,1.44774366924104,0.14768875203436,0.446318165896131
"LOC124900718",12.7751633534028,0.249780292345097,0.530537259489945,0.470806315441888,0.637779054178416,NA
"SCARB2",2381.62385411291,0.0528844433908921,0.115369637843588,0.458391344372513,0.646671309094685,0.861553708654463
"STBD1",12.2658392858862,0.423783288990056,0.565883945084971,0.748887280989078,0.453925147023019,NA
"CCDC158",1.75686898945002,0.627790368461985,1.54093334144649,0.407409166624087,0.683707495536279,NA
"SHROOM3",652.126597522628,-0.278099918457911,0.136236047686996,-2.04130935372441,0.0412200879240144,0.214143985456921
"LOC105377290",3.05919034127103,-1.52229710777057,1.13021301755624,-1.34691167428075,0.178008681168578,NA
"SHROOM3-AS1",4.05768916237358,0.950627975861799,0.97007717584818,0.979950873527794,0.327110368998281,NA
"SEPTIN11",104.849065462594,-0.332784234894946,0.214645202414358,-1.55039214085265,0.12104742374121,0.403705886707415
"LOC105377291",2.88484680017077,0.618896719463612,1.1263722856127,0.549460180589368,0.582689684028093,NA
"CCNI",2536.15899678955,-0.0140050074577235,0.120232643547191,-0.116482571159858,0.907270098265135,0.970798995128971
"LOC101928864",1.76281285269893,2.11384895036878,1.54832989953241,1.36524454575678,0.172176201847928,NA
"CCNG2",389.77819419444,-0.0860036264320511,0.145010387431254,-0.593085970981379,0.553123618693006,0.815201171592187
"CNOT6L",403.630061000514,-0.0740707204017257,0.144777137447454,-0.511618904114671,0.608917752446104,0.843658597645065
"MRPL1",155.962318349787,0.261200587856719,0.218311050185775,1.19646068137387,0.231516833374387,0.558377939172625
"ANXA3",235.066033541168,-0.139446199019516,0.160206390634028,-0.870415958237669,0.38407312879622,0.703854295910206
"LINC01094",3.43324082628243,0.186564440453798,1.07604502088557,0.17337977206591,0.862352923865464,NA
"BMP2K",107.286699144722,-0.222769399850835,0.215336729031573,-1.03451650284041,0.30089476587382,0.632935662195115
"LOC124900722",4.60948182355478,1.2853301731807,0.912754046493941,1.40818896187631,0.159075123883422,NA
"PAQR3",240.406037363855,-0.0774128646083338,0.164313203698329,-0.471129908406265,0.637547968254593,0.857506699816378
"PRKG2",3.50850776887173,0.00187171803693432,1.00995603486395,0.00185326684758754,0.998521307841714,NA
"HNRNPD",3506.47850167675,0.080985192893292,0.113173425430273,0.715584887400864,0.47424770797398,0.772341004480152
"HNRNPD-DT",7.87459312872069,-1.04998370212972,0.702934042963048,-1.49371582247429,0.135249911186074,NA
"HNRNPDL",4031.39692068501,0.352417361296268,0.134364614197054,2.6228435470326,0.00871993049933903,0.0783485755365612
"ENOPH1",581.493655361199,-0.224614992234738,0.129830680696015,-1.73006096117335,0.0836193841584151,0.326965568333448
"SEC31A",4296.25044921128,0.271598695641425,0.112494599337728,2.41432652981002,0.0157643275900763,0.117475993338608
"THAP9-AS1",831.219847793987,0.027745677900883,0.207864641090473,0.133479545897403,0.893814139522026,0.965383157141038
"SNORD143",8.89806822145037,-1.34222282329183,0.668088187471224,-2.00905037458044,0.0445317917135603,NA
"SNORD144",3.95293357485985,-1.30127610431797,0.991628231741578,-1.31226205816323,0.189431729315791,NA
"THAP9",100.898962084784,0.166859525537728,0.223916245790667,0.745187223680591,0.456158545431393,0.757794287240029
"LIN54",451.052398520348,-0.111266161331549,0.148983369629008,-0.74683611740437,0.455162491143102,0.757372903181415
"COPS4",794.632138927173,-0.0165265644399961,0.148923263115888,-0.110973692720764,0.911637208022731,0.972562500188104
"PLAC8",969.022299075643,-0.0316779450938966,0.139145847796512,-0.227660009950299,0.819910563495144,0.933277981920678
"LOC124900167",2.39126338105078,1.86268724865518,1.37723092247868,1.35248723961468,0.176219498122148,NA
"COQ2",419.543037239529,-0.352179371168397,0.149572077103767,-2.35457966478643,0.0185436683747871,0.129087329544243
"HPSE",389.900971424744,-0.575478855645992,0.152910065047157,-3.76351194062022,0.00016754372311538,0.0039246415140938
"HELQ",164.324598181523,0.345123842700124,0.200296443700857,1.72306525429661,0.0848767252695727,0.330137392444637
"MRPS18C",15.9880428738284,-0.1734841309886,0.496538463503674,-0.349387094333964,0.726798720829092,0.894914492014321
