"","SRR31732086.ReadsPerGene.out.tab","SRR31732087.ReadsPerGene.out.tab","SRR31732088.ReadsPerGene.out.tab","SRR31732089.ReadsPerGene.out.tab","SRR31732090.ReadsPerGene.out.tab","SRR31732091.ReadsPerGene.out.tab"
"TMEM170A",178,203,283,251,198,208
"CHST6",1,3,5,6,0,2
"CHST5",8,11,8,10,5,6
"TMEM231",220,176,235,230,192,198
"GABARAPL2",1038,1001,1154,1102,904,933
"ADAT1",405,379,454,456,397,455
"KARS1",3284,3071,3713,3294,2599,2735
"TERF2IP",742,676,830,749,666,711
"CPHXL2",1,0,1,1,0,0
"DUXB",3,1,1,0,2,1
"CPHXL",0,0,0,0,0,0
"LOC105371348",0,2,0,0,0,1
"LOC105371347",0,0,0,0,0,0
"LOC105371349",0,0,0,0,0,0
"CNTNAP4",206,163,292,230,179,120
"LINC02125",0,0,0,0,0,1
"LOC105376774",0,0,0,0,0,0
"MIR4719",0,0,0,0,0,0
"LOC124903724",0,0,0,0,0,0
"LOC124903725",6,5,0,0,4,4
"MON1B",639,528,702,579,517,572
"SYCE1L",2,8,3,4,5,2
"LOC124903726",1,0,0,3,0,0
"ADAMTS18",0,0,0,0,0,0
"LOC124903727",0,0,0,0,0,0
"LOC105376775",0,0,0,0,0,0
"LINC02131",0,0,0,0,0,0
"NUDT7",28,24,30,15,14,19
"LOC107984878",0,0,0,0,0,0
"VAT1L",0,0,0,0,0,0
"LOC105371351",0,0,0,0,0,0
"CLEC3A",0,0,0,0,0,0
"LOC107984897",0,0,0,0,0,0
"WWOX",29,34,51,59,50,65
"WWOX-AS1",0,0,0,0,0,1
"LOC124903728",0,1,0,0,0,0
"WWOX-AS2",0,0,0,0,1,0
"LOC105371354",0,0,0,0,0,0
"LOC112268165",0,0,0,0,0,0
"LOC107984806",0,0,0,0,0,0
"MAF",0,0,0,0,0,0
"LOC124903729",0,0,0,0,0,0
"LOC101928230",0,0,0,0,0,0
"LOC105371356",0,0,0,0,0,0
"MAFTRR",0,0,0,0,0,0
"LINC01229",0,0,0,0,0,0
"LINC01228",0,0,0,0,0,0
"LOC105371357",0,0,0,0,0,0
"LOC105371358",0,0,0,0,0,0
"DYNLRB2-AS1",2,0,1,1,3,2
"DYNLRB2",3,5,9,5,5,5
"LINC01227",3,1,2,0,2,0
"CDYL2",1851,1708,2015,1979,1663,1451
"ARLNC1",209,177,268,149,152,106
"CMC2",0,1,0,0,0,0
"CENPN",1,0,0,0,0,3
"CENPN-AS1",0,0,0,0,0,0
"ATMIN",0,0,0,0,0,0
"C16orf46",0,0,0,0,0,0
"C16orf46-AS1",0,0,0,0,0,0
"GCSH",0,0,0,0,0,0
"PKD1L2",1,2,0,0,0,0
"BCO1",0,0,0,0,2,0
"GAN",333,284,371,335,223,236
"MIR4720",0,0,0,0,0,0
"CMIP",671,586,903,633,546,710
"MIR7854",0,0,0,0,0,0
"MIR6504",0,1,0,0,0,0
"LOC105371362",1,0,0,1,3,0
"LOC100129617",1,0,2,0,0,1
"PLCG2",694,595,738,426,369,367
"LOC105369213",0,1,1,0,0,0
"LOC124903731",0,0,0,0,1,0
"SDR42E1",0,0,0,0,0,0
"LOC112268169",0,0,0,0,0,0
"HSD17B2",0,0,0,0,0,0
"HSD17B2-AS1",0,0,0,0,0,0
"MPHOSPH6",216,207,243,267,252,169
"LOC101928392",0,0,0,0,0,0
"CDH13",0,0,0,0,0,0
"MIR8058",0,0,0,0,0,0
"LOC101928446",0,0,0,0,0,0
"LOC124903733",0,0,0,0,0,0
"LOC101928417",0,0,0,0,0,0
"CDH13-AS1",0,0,0,0,0,0
"MIR3182",0,0,0,0,0,0
"LOC124900603",0,0,0,0,0,0
"CEDORA",0,0,0,0,0,0
"CDH13-AS2",0,0,0,2,0,0
"HSBP1",1287,1211,1587,1549,1343,1150
"MLYCD",201,149,212,171,139,181
"LOC105371372",11,8,3,8,7,4
"OSGIN1",24,46,45,50,27,46
"NECAB2",0,0,1,1,1,1
"SLC38A8",2,1,2,0,0,0
"MBTPS1",2383,2201,2811,2141,1861,2065
"MBTPS1-DT",23,22,32,38,24,38
"HSDL1",488,373,529,666,554,409
"DNAAF1",6,5,2,12,10,4
"TAF1C",950,843,1163,1044,970,951
"ADAD2",0,0,0,0,0,0
"ADAD2-AS1",0,0,1,0,0,0
"KCNG4",0,0,0,0,0,0
"LOC124903734",0,0,1,2,1,0
"WFDC1",286,271,424,374,347,294
"ATP2C2",10,6,12,10,13,10
"ATP2C2-AS1",19,7,19,22,13,11
"MEAK7",417,376,403,513,429,463
"LOC124903736",4,2,4,1,4,4
"LOC124903735",7,5,4,0,1,0
"COTL1",3091,2978,3789,3102,2573,3546
"LOC105371376",0,0,2,1,0,0
"KLHL36",373,307,366,455,398,378
"USP10",1816,1581,2040,1839,1507,1534
"LOC124903737",7,2,6,9,4,3
"LOC105371378",0,0,1,0,0,0
"CRISPLD2",5,7,28,5,8,15
"LINC02176",0,0,0,0,0,0
"ZDHHC7",1312,1236,1675,1212,1059,1243
"KIAA0513",242,211,300,348,272,294
"CIBAR2",0,0,0,0,0,0
"LOC105371381",0,0,0,0,0,0
"LINC02139",0,0,0,0,0,0
"LOC105371382",0,0,0,0,0,0
"GSE1",2090,1772,2667,2105,1780,1900
"MIR12128",0,0,0,0,0,0
"LINC00311",1,0,0,0,0,1
"MIR5093",0,0,0,0,0,0
"LOC101928502",0,0,0,0,0,0
"LOC107984830",4,0,4,5,4,3
"LOC124903738",0,0,2,0,0,0
"LOC124903739",0,2,0,0,2,0
"GSE1-AS1",2,0,3,5,1,3
"GINS2",507,480,632,926,764,671
"LOC124903740",0,0,0,6,7,2
"C16orf74",196,224,249,253,212,213
"MIR1910",0,1,2,1,0,0
"EMC8",694,636,733,734,636,753
"LOC101928557",0,0,0,0,0,0
"COX4I1",5107,4965,6399,6165,5227,5644
"IRF8",0,0,0,0,0,0
"MIR6774",0,0,0,0,0,0
"LINC02132",0,0,0,0,0,0
"LOC105371388",0,0,0,0,0,0
"LOC124903741",0,0,0,0,0,0
"LOC105371389",0,0,0,0,0,0
"LOC105376778",0,0,0,0,0,0
"LOC124903742",0,0,0,0,0,0
"LOC124903743",0,0,0,0,0,0
"LINC01082",0,0,0,0,0,0
"LOC124903744",0,2,1,0,0,0
"LINC01081",0,0,0,0,0,0
"LINC02135",0,0,0,0,0,0
"LOC124903745",0,0,0,0,0,0
"LINC00917",11,5,6,4,2,2
"FENDRR",9,5,2,4,6,3
"FOXF1",0,0,0,0,0,1
"MTHFSD",391,382,513,407,418,360
"FLJ30679",1,0,0,3,2,0
"FOXC2-AS1",0,2,4,0,2,1
"FOXC2",190,218,275,269,255,295
"FOXL1",65,59,52,72,76,41
"LINC02189",0,0,0,0,0,0
"LINC02188",0,0,0,0,0,0
"LOC105371392",0,0,0,0,0,0
"LOC107984819",0,1,1,2,1,1
"LOC124903746",0,0,1,0,0,1
"LINC02181",0,0,0,0,0,0
"LOC105371394",0,0,0,0,0,0
"LOC101928708",0,0,0,0,0,0
"LOC101928682",0,0,2,0,0,0
"C16orf95",72,43,100,52,61,45
"LOC124903787",0,0,0,0,3,0
"C16orf95-DT",10,4,12,9,6,16
"FBXO31",645,611,809,739,613,706
"LOC124903747",2,1,0,0,2,4
"TRM-CAT6-1",0,0,0,0,0,0
"MAP1LC3B",1611,1479,2083,1672,1410,1375
"ZCCHC14",589,607,732,643,549,570
"ZCCHC14-DT",10,8,19,7,2,9
"LOC124903748",0,1,0,0,0,0
"LOC124903749",9,2,3,7,1,2
"LOC124903750",0,0,0,0,1,0
"JPH3",8,7,11,6,4,4
"LOC100129215",18,14,15,14,15,11
"KLHDC4",1004,848,1272,1200,1049,996
"LOC124903752",59,48,51,102,89,39
"LOC124903751",99,110,143,186,151,84
"LOC105371399",15,18,20,19,4,15
"LOC102724467",34,23,55,32,39,47
"SLC7A5",58189,56587,81448,82053,67100,80013
"MIR6775",7,5,11,18,6,9
"SLC7A5-AS1",58,46,91,78,79,76
"MIR11401",4,2,1,2,6,4
"CA5A",1,1,2,0,2,2
"BANP",1163,1086,1352,814,660,908
"LOC124903754",0,0,0,1,0,0
"LOC400553",0,0,0,0,0,0
"ZNF469",0,0,0,0,1,1
"LOC105371401",0,0,0,0,0,0
"LINC02182",0,0,0,0,0,0
"LOC124900374",0,0,0,0,0,0
"LOC107984862",0,0,0,0,0,0
"LOC112268182",0,0,0,0,0,0
"ZFPM1",235,240,321,332,303,282
"MIR5189",0,0,0,0,0,0
"LOC107984890",10,8,30,13,9,15
"ZFPM1-AS1",6,7,11,2,13,8
"ZC3H18-DT",4,4,0,4,3,2
"ZC3H18",1769,1681,2215,1662,1401,1705
"LOC124903755",0,0,0,0,0,0
"IL17C",1,0,2,0,0,2
"CYBA",4963,4855,5919,5940,5317,6450
"MVD",995,985,1100,1072,928,1020
"SNAI3-AS1",86,76,80,105,78,78
"SNAI3",18,23,14,20,15,18
"RNF166",482,454,533,587,463,604
"CTU2",318,286,334,371,287,346
"PIEZO1",12169,11860,15553,14562,12219,14774
"MIR4722",0,0,0,0,0,0
"HSALR1",0,1,3,1,1,1
"PIEZO1-AS1",0,0,0,1,3,0
"CDT1",2030,2037,2422,2733,2145,2329
"APRT",2603,2493,2957,2552,2150,2925
"GALNS",1206,1183,1675,1480,1303,1448
"LOC107983950",2,7,2,11,2,1
"TRAPPC2L",1132,1126,1543,1133,966,1110
"PABPN1L",3,2,1,2,3,1
"CBFA2T3",285,263,420,251,195,220
"LOC101927793",1,6,5,5,7,2
"LOC102724632",3,2,3,0,4,1
"LOC105371409",50,61,90,50,76,46
"LOC107984871",10,5,7,4,1,2
"LOC100129697",0,2,6,4,1,1
"LOC124903756",0,0,0,0,0,0
"LOC105371411",0,0,1,0,1,1
"LOC105371412",0,0,0,2,0,0
"ACSF3",1239,1229,1572,1386,1162,1295
"LINC00304",8,9,13,9,9,5
"LINC02138",1,0,2,2,4,5
"CDH15",10,5,9,3,3,6
"SLC22A31",0,2,4,2,2,2
"ZNF778-DT",63,64,88,59,51,23
"ZNF778",509,490,612,593,485,397
"LOC124903766",4,2,6,3,8,16
"ANKRD11",3200,3008,4138,2740,2316,2576
"LOC124903757",259,259,345,314,282,324
"LOC105371414",0,0,0,0,0,0
"LOC128462377",0,0,0,0,0,0
"LOC100287036",2,5,4,6,6,3
"LOC101927817",1,0,0,1,1,0
"LOC101930112",29,45,31,34,27,41
"LOC101927863",21,11,15,17,19,24
"SPG7",2013,1848,2427,2420,2011,1868
"RPL13",19602,19347,23597,21701,18220,21533
"SNORD68",1,0,1,1,0,0
"CPNE7",268,244,364,307,302,238
"DPEP1",3,1,0,2,1,2
"LOC124903758",0,0,3,0,1,1
"CHMP1A",1849,1867,2324,2277,1800,2507
"SPATA33",171,137,199,234,190,210
"LINC02166",9,9,8,11,14,7
"CDK10",849,801,1020,1139,962,921
"SPATA2L",164,167,189,228,212,235
"VPS9D1",237,240,289,281,254,277
"VPS9D1-AS1",146,158,166,174,120,161
"ZNF276",377,387,528,524,398,456
"FANCA",1782,1528,1972,1758,1648,1681
"SPIRE2",1071,958,1203,1462,1293,1409
"LOC124903760",9,6,3,10,5,8
"LOC112268179",2,0,10,2,5,3
"TCF25",1847,1740,2393,2640,2069,2517
"LOC124903759",146,128,205,132,135,132
"MC1R",336,327,429,310,257,298
"TUBB3",689,689,909,647,515,672
"DEF8",1019,932,1126,891,793,931
"SNORA119",2,7,6,2,2,3
"CENPBD1P",180,158,221,143,104,135
"AFG3L1P",275,264,319,451,390,312
"DBNDD1",253,225,295,249,198,246
"DRC4",235,230,259,287,210,230
"GAS8-AS1",4,1,15,3,5,5
"URAHP",7,14,13,18,8,11
"PRDM7",0,0,0,1,0,1
"LOC105376786",0,0,0,0,0,0
"FAM157C",1,3,4,0,1,0
"LOC105376781",8,9,7,7,7,10
"LOC101927999",159,128,176,167,117,99
"LINC02193",3,1,1,1,1,0
"LOC107987240",0,0,0,0,0,0
"LOC102723655",0,0,0,0,0,0
"LOC124905329",0,0,0,0,0,0
"LOC105379545",0,0,0,0,0,0
"LOC107987382",0,0,0,0,0,0
"LOC105379535",0,0,0,0,0,0
"LOC105379533",0,0,0,0,0,0
"LOC102723713",0,0,0,0,0,0
"LOC105379537",0,0,0,0,0,0
"LOC112268315",0,0,0,0,0,0
"LOC102723753",22,14,25,30,25,22
"LOC107987384",0,0,0,0,0,0
"SLC6A10PB",1,0,1,0,1,0
"LOC105379539",0,0,0,0,0,0
"LOC105379540",0,0,0,0,0,0
"LOC112268316",0,0,0,0,0,0
"LOC102724014",0,0,0,0,0,0
"LOC102723841",0,0,0,0,0,0
"LOC105379544",0,0,0,0,0,0
"LOC102723869",0,0,0,0,0,0
"LOC102724052",0,0,0,0,0,0
"LOC105379547",0,0,0,0,0,0
"LOC107987386",0,0,0,0,0,0
"LOC124907782",0,0,0,0,0,0
"LOC102723890",0,0,0,0,0,0
"LINC02887",3,1,2,1,1,4
"LOC124904108",0,0,0,0,0,0
"LOC101929823",0,0,0,0,0,0
"LOC101929828",0,0,0,0,0,0
"SCGB1C2",0,0,0,0,0,0
"DOC2B",0,0,0,0,0,0
"LINC02091",0,0,0,0,0,0
"LOC124903889",0,0,1,1,0,0
"RPH3AL",0,1,0,0,3,1
"RPH3AL-AS1",0,0,0,0,0,0
"LOC105371425",0,0,0,0,0,0
"LOC105371430",0,0,0,0,0,0
"LIAT1",0,0,0,0,0,0
"RFLNB",0,0,0,0,0,0
"VPS53",0,0,0,0,4,0
"VPS53-AS1",0,0,0,0,0,0
"LOC124903891",0,0,0,0,0,0
"LOC124903893",0,2,0,3,0,0
"TLCD3A",799,678,1178,973,859,1009
"GEMIN4",1414,1322,1785,1709,1410,1711
"DBIL5P",1,6,2,4,1,3
"GLOD4",851,734,893,932,746,813
"MRM3",642,591,740,630,533,553
"NXN",824,799,1013,1213,1088,1173
"LOC124903894",1,0,0,0,2,0
"LOC101927727",0,0,0,0,0,2
"TIMM22",0,0,0,0,0,0
"ABR",2,2,4,4,2,0
"LOC105371481",0,0,0,0,0,0
"MIR3183",0,0,0,0,0,0
"LOC124903895",0,0,0,0,0,0
"LOC105371480",0,0,1,0,1,0
"ABR-AS1",0,0,0,0,0,0
"BHLHA9",0,0,0,0,0,0
"TRARG1",0,0,0,0,0,0
"YWHAE",0,0,0,0,0,0
"CRK",117,69,107,100,69,93
"CRK-AS1",0,0,0,0,0,0
"MYO1C",5813,5359,6583,6102,4889,6724
"LOC105371483",0,0,2,3,0,0
"INPP5K",522,462,570,564,471,593
"PITPNA-AS1",0,3,1,1,3,0
"PITPNA",1409,1324,1768,1720,1556,1722
"SLC43A2",29,31,27,34,36,45
"LOC124904121",0,0,0,0,0,0
"SCARF1",0,0,0,0,0,0
"RILP",0,0,0,0,0,0
"PRPF8",0,0,1,0,0,0
"TLCD2",2,2,2,1,2,7
"MIR22HG",0,0,0,0,0,0
"MIR22",0,0,0,0,0,0
"WDR81",197,183,307,264,231,270
"SERPINF2",4,0,1,1,0,4
"SERPINF1",58,54,56,64,52,55
"SMYD4",420,332,434,448,416,435
"RPA1",3281,3215,3714,4853,3924,3516
"RTN4RL1",121,105,162,171,104,160
"LOC105371486",0,2,0,0,0,0
"RTN4RL1-AS1",0,0,0,0,0,0
"DPH1",443,419,504,523,441,550
"OVCA2",13,12,22,25,11,13
"LOC124903896",1,3,1,3,2,2
"MIR132",0,0,0,0,0,0
"MIR212",1,0,0,0,0,0
"HIC1",27,22,51,30,22,32
"SMG6",312,241,376,327,316,359
"LOC107984988",1,2,1,3,4,1
"SMG6-AS1",1,0,0,1,2,0
"LOC101927839",0,0,0,0,0,0
"SRR",174,186,209,187,182,140
"TSR1",1767,1620,2321,1841,1502,1421
"SNORD91B",0,0,1,2,0,0
"SNORD91A",2,0,0,3,0,0
"SGSM2",1271,1292,1724,1683,1508,1484
"LOC101927864",2,1,2,4,4,3
"MNT",744,680,949,884,777,768
"LOC284009",5,8,5,11,7,2
"METTL16",784,662,777,707,619,686
"PAFAH1B1",2095,1832,2346,1878,1585,1381
"LOC124904127",0,0,0,0,0,0
"LOC105371490",0,0,2,0,0,0
"CLUH",3972,3739,4700,4049,3484,4262
"MIR6776",0,0,1,0,0,0
"LOC105371592",75,71,95,85,71,57
"CCDC92B",41,26,33,27,28,22
"MIR1253",0,0,0,0,0,0
"RAP1GAP2",1438,1381,1807,1483,1252,1500
"RAP1GAP2-AS1",0,0,1,0,0,0
"OR1D5",0,0,0,0,0,0
"OR1D2",0,0,0,0,0,0
"OR1G1",0,0,0,0,0,0
"LOC100288728",0,0,2,0,0,0
"OR1A2",0,0,0,0,0,0
"OR1A1",0,0,0,0,0,0
"OR1D4",0,0,0,0,0,0
"OR3A2",0,0,0,0,0,0
"OR3A1",0,0,0,0,0,0
"OR3A4P",0,0,0,0,0,0
"OR1R1",0,0,0,0,0,0
"OR1E1",0,0,0,0,0,0
"OR3A3",0,0,0,0,0,0
"OR1E2",0,0,0,0,0,0
"SPATA22",0,0,0,0,0,0
"ASPA",1,0,0,0,0,0
"TRPV3",0,1,0,1,0,0
"TRPV1",306,264,354,299,250,193
"SHPK",277,190,290,365,287,285
"CTNS",391,336,407,417,325,359
"LOC105371493",57,33,69,64,62,44
"P2RX5-TAX1BP3",14,10,35,25,18,23
"TAX1BP3",3,5,6,2,1,7
"EMC6",1,4,6,5,0,3
"P2RX5",173,196,229,190,168,160
"ITGAE",30,27,36,35,25,24
"HASPIN",292,263,312,299,289,314
"NCBP3",741,639,759,780,612,536
"LOC124903897",0,0,0,0,0,0
"CAMKK1",402,385,472,451,420,404
"P2RX1",3,0,1,5,4,1
"ATP2A3",100,106,139,94,82,94
"LINC01975",0,0,0,0,0,0
"ZZEF1",1410,1247,1719,1436,1271,1476
"LOC124904128",0,0,0,0,0,0
"CYB5D2",258,266,349,317,265,330
"LOC124903898",1,7,4,5,3,5
"ANKFY1",1685,1432,1970,1893,1540,1645
"UBE2G1",1432,1338,1724,1428,1244,1265
"SPNS3",0,0,0,0,0,0
"LOC124903899",0,0,0,0,1,0
"SPNS2-AS1",0,0,0,0,0,0
"SPNS2",22,26,29,30,25,25
"MYBBP1A",2414,2543,3389,2574,2241,2677
"GGT6",0,0,0,0,0,1
"SMTNL2",0,0,0,1,0,0
"LINC01996",0,0,0,0,0,0
"LOC105371498",0,0,0,0,0,0
"ALOX15",4,3,3,2,2,0
"LOC105371499",0,0,1,0,0,2
"PELP1",2539,2476,3282,2935,2401,3004
"PELP1-DT",13,7,11,9,11,7
"ARRB2",379,394,444,469,419,453
"MED11",397,374,468,256,224,255
"CXCL16",26,26,37,35,44,52
"ZMYND15",1,1,4,3,1,0
"TM4SF5",2,0,0,0,1,0
"VMO1",5,5,7,2,11,10
"GLTPD2",49,26,50,48,39,46
"PSMB6",1456,1469,1791,1484,1227,1454
"C17orf114",3,5,1,0,3,1
"PLD2",644,577,668,696,585,611
"MINK1",3045,3014,3721,3446,2831,3407
"CHRNE",1,1,2,1,5,0
"C17orf107",2,6,2,3,2,3
"GP1BA",29,20,33,39,34,28
"SLC25A11",1403,1278,1705,1777,1497,1791
"RNF167",2284,2210,2799,2792,2304,2834
"PFN1",10301,10035,12944,12848,10276,13490
"ENO3",614,565,616,986,793,785
"SPAG7",802,693,983,733,642,756
"LOC124900387",16,22,29,19,15,14
"CAMTA2",535,535,680,675,531,590
"MIR6864",0,0,0,0,0,0
"MIR6865",0,0,0,0,0,0
"LOC124903901",2,0,0,1,1,1
"CAMTA2-AS1",1,6,5,3,1,1
"INCA1",11,9,12,16,7,15
"KIF1C",3554,3432,3953,2886,2268,2962
"KIF1C-AS1",1,0,1,0,3,1
"LOC105371501",5,1,4,3,1,1
"SLC52A1",0,0,0,1,0,1
"ZFP3-DT",0,0,0,0,0,0
"ZFP3",0,0,1,0,0,0
"ZNF232",248,179,312,209,171,158
"ZNF232-AS1",17,22,31,26,27,22
"USP6",0,1,1,0,0,1
"ZNF594",153,114,183,111,116,70
"ZNF594-DT",4,10,4,1,7,1
"SCIMP",0,1,0,0,0,0
"RABEP1",1266,1066,1340,1333,1111,652
"LOC105371505",1,1,5,0,8,1
"NUP88",1560,1502,1873,1697,1472,1280
"RPAIN",446,438,478,503,422,270
"C1QBP",4443,4310,5584,4925,4064,5153
"DHX33",1016,837,1061,1135,941,990
"DHX33-DT",0,0,0,0,0,0
"DERL2",865,699,976,903,767,882
"MIS12",504,387,643,714,559,427
"LOC728392",0,0,0,0,0,0
"LOC124900388",0,0,0,0,0,0
"NLRP1",19,24,27,29,19,28
"LOC101928044",0,0,0,0,0,0
"LOC124903902",0,0,0,0,0,0
"LOC105371507",0,0,0,0,0,0
"LOC124903903",0,0,0,0,0,0
"LOC339166",0,0,0,0,0,0
"WSCD1",2,0,0,0,0,0
"LOC105371508",0,0,0,0,0,0
"LOC124903904",0,0,0,0,0,0
"LOC105371509",0,1,1,3,1,1
"AIPL1",0,0,1,0,0,0
"LOC107985017",1,1,4,6,2,1
"PIMREG",210,186,242,303,241,270
"PITPNM3",705,605,912,966,722,760
"KIAA0753",477,451,647,654,531,371
"LOC122526780",10,8,15,13,9,11
"TXNDC17",572,498,740,792,637,579
"MED31",75,66,75,60,61,81
"C17orf100",42,31,35,23,29,20
"MIR4520-1",0,0,0,0,0,0
"MIR4520-2",0,0,0,0,0,0
"ALOX15P1",1,2,3,0,5,2
"SLC13A5",2,0,0,0,0,1
"XAF1",146,82,112,10,8,19
"LOC124903905",0,0,0,0,0,0
"FBXO39",0,0,0,0,0,0
"TEKT1",0,0,0,0,3,0
"ALOX12P2",0,0,0,1,0,0
"LOC124903907",41,19,45,64,47,25
"LOC124903908",0,0,0,0,1,0
"LOC124903906",0,0,0,3,1,0
"ALOX12-AS1",11,14,14,13,12,14
"ALOX12",85,77,83,114,58,71
"RNASEK-C17orf49",3,1,1,0,0,0
"RNASEK",10,10,9,22,12,18
"BACC1",0,0,0,0,0,0
"MIR497HG",2,0,3,0,4,2
"MIR195",0,0,0,0,0,0
"MIR497",0,0,0,0,0,0
"BCL6B",33,36,43,51,34,32
"SLC16A13",203,194,220,172,167,151
"SLC16A11",0,1,5,0,2,1
"LOC124903909",1,0,0,1,1,3
"CLEC10A",0,0,0,0,0,0
"ASGR2",0,0,0,0,0,0
"LOC105371512",0,0,0,0,0,0
"LOC124903910",0,0,0,0,0,0
"LOC124903911",0,0,0,0,0,0
"ASGR1",10,12,12,11,3,3
"DLG4",390,420,490,568,421,422
"ACADVL",7709,7292,9119,9329,7512,7996
"MIR324",5,6,9,9,1,6
"DVL2",1295,1124,1436,1281,1015,1223
"PHF23",1418,1252,1828,1534,1269,1552
"GABARAP",911,826,951,1404,1161,1346
"CTDNEP1",1284,1363,1610,1330,1056,1374
"ELP5",0,0,0,0,0,0
"CLDN7",0,0,0,0,0,0
"SLC2A4",0,0,0,0,0,0
"YBX2",0,0,0,0,0,0
"LOC124903912",0,0,0,0,0,0
"EIF5A",0,0,0,0,2,1
"GPS2",0,0,0,0,0,0
"NEURL4",0,0,0,0,0,0
"ACAP1",0,0,0,0,0,0
"KCTD11",0,0,0,0,0,0
"TMEM95",0,0,0,0,0,0
"TNK1",0,0,0,0,0,0
"TMEM256-PLSCR3",0,0,0,0,0,0
"PLSCR3",0,0,0,0,0,0
"TMEM256",0,0,0,0,0,0
"NLGN2",0,0,0,0,0,0
"SPEM1",0,0,0,0,0,0
"SPEM2",0,0,0,0,0,0
"SPEM3",0,0,0,0,0,0
"TMEM102",0,0,0,0,0,0
"FGF11",0,0,0,0,0,0
"CHRNB1",0,0,0,0,0,0
"ZBTB4",0,0,0,0,0,0
"SLC35G6",0,0,0,0,0,0
"POLR2A",326,366,483,507,367,479
"TNFSF12-TNFSF13",0,0,0,0,0,0
"TNFSF12",0,0,0,0,0,0
"TNFSF13",141,130,158,126,108,152
"SENP3",33,27,32,54,38,48
"SENP3-EIF4A1",1,2,4,5,2,2
"EIF4A1",0,0,0,0,0,0
"SNORA48",3,5,8,2,3,3
"SNORD10",17,12,18,33,13,9
"SNORA67",5,3,6,4,2,2
"CD68",750,715,869,617,495,574
"MPDU1-AS1",160,136,184,174,163,153
"MPDU1",1131,1027,1362,998,860,1220
"SOX15",7,9,18,9,13,8
"FXR2",2051,1971,2322,2111,1806,2139
"SHBG",18,3,7,10,7,7
"SAT2",305,283,351,292,264,255
"ATP1B2",7,4,5,11,7,5
"TP53",820,836,969,1065,929,1110
"WRAP53",595,597,719,755,663,675
"EFNB3",2,1,0,0,1,0
"DNAH2",39,31,44,44,40,45
"RPL29P2",0,0,0,0,0,0
"KDM6B",692,599,955,570,419,540
"LOC124904106",2,3,3,7,1,3
"LOC107987244",2,1,0,0,2,0
"TMEM88",16,1,9,5,8,1
"NAA38",457,462,610,817,673,715
"CYB5D1",649,612,834,844,796,599
"CHD3",7342,6807,9316,7008,5494,6480
"SCARNA21",0,1,3,2,2,1
"RNF227",97,91,145,134,118,135
"KCNAB3",23,12,23,18,8,10
"TRAPPC1",677,720,837,846,696,817
"CNTROB",956,871,1123,1008,766,878
"GUCY2D",0,0,0,0,0,0
"ALOX15B",7,6,6,29,11,23
"ALOX12B",16,8,21,9,10,5
"LOC107985075",5,5,8,4,2,3
"MIR4314",0,0,0,0,0,0
"ALOXE3",11,21,18,33,24,20
"TRK-TTT3-5",0,0,0,0,0,0
"TRQ-CTG1-5",0,0,0,0,0,0
"TRL-TAG1-1",0,0,0,0,0,0
"HES7",780,800,934,1034,809,863
"TRR-TCT2-1",0,0,0,0,0,0
"TRG-GCC2-6",0,0,0,0,0,0
"TRS-CGA1-1",0,0,0,0,0,0
"TRT-AGT5-1",0,0,0,0,0,0
"PER1",1277,1307,1776,1723,1327,1560
"MIR6883",0,0,0,0,0,0
"VAMP2",234,197,248,420,364,339
"TMEM107",135,140,205,233,192,174
"SNORD118",0,0,0,0,0,0
"LOC105371520",25,18,18,17,10,14
"TRW-CCA3-3",7,4,2,1,10,0
"TRS-GCT4-3",0,0,0,3,0,0
"MIR4521",0,0,0,0,0,0
"TRT-AGT1-1",0,0,0,1,0,0
"TRI-AAT5-5",0,0,0,3,0,0
"BORCS6",399,378,489,514,352,500
"LOC124903913",5,4,5,2,0,5
"AURKB",760,818,961,930,840,844
"LINC00324",15,18,20,30,9,15
"TRW-CCA1-1",0,0,0,0,0,0
"TRG-TCC3-1",1,1,0,0,1,0
"TRD-GTC2-11",0,0,0,0,0,0
"TRP-CGG1-3",0,0,0,0,0,0
"CTC1",398,302,481,460,407,363
"TRT-AGT1-2",0,0,0,0,0,0
"TRS-AGA2-6",0,0,0,0,0,0
"TRI-AAT4-1",0,0,0,0,0,0
"PFAS",1911,1707,2283,1959,1608,2139
"SLC25A35",438,392,343,629,545,560
"RANGRF",0,0,0,0,0,0
"LOC124903915",0,0,0,0,0,0
"LOC124903914",1,0,0,1,2,0
"ARHGEF15",0,0,0,0,0,0
"LOC124900396",0,0,0,0,0,0
"LOC124903916",0,0,0,0,0,0
"ODF4",0,0,0,0,0,0
"LOC100128288",0,1,1,0,0,0
"KRABD2",51,59,74,58,58,51
"RPL26",13013,12584,15627,15018,12270,11577
"RNF222",0,0,2,0,2,0
"NDEL1",853,853,1075,807,732,743
"MYH10",472,460,537,597,465,334
"LOC107987245",33,15,44,26,18,11
"LOC102724262",1,1,0,0,2,0
"LOC105371525",0,0,0,0,0,0
"LOC105371526",0,0,0,0,0,1
"CCDC42",0,0,0,1,0,0
"LOC105371529",0,0,0,0,0,0
"SPDYE4",0,0,0,0,0,0
"LOC105371530",0,0,0,0,0,0
"LOC124903918",0,0,0,0,0,0
"MFSD6L",0,0,0,0,0,0
"PIK3R6",0,0,0,0,0,0
"LOC107985071",0,0,0,0,0,0
"LOC124903919",0,0,0,0,0,0
